experiment_id,candidate_id,strategy_family,score,accepted,validation_cagr,sharpe,max_drawdown,stop_reason
momentum-0989605e3d57ad58-20260911T192624269108Z-43ebfaf9,momentum-0989605e3d57ad58,momentum,2.74739181,False,0.005145832037847908,0.2741258649071815,-0.043878384350652166,CANDIDATE_EVALUATED
momentum-0989605e3d57ad58-20260911T193728485554Z-539484c3,momentum-0989605e3d57ad58,momentum,2.74739181,False,0.005145832037847908,0.2741258649071815,-0.043878384350652166,CANDIDATE_EVALUATED
trend-d700af0b2975aacf-20260911T192612306885Z-79dc1398,trend-d700af0b2975aacf,trend,2.66940053,False,0.016619814140698796,0.2687376231005774,-0.17412017883368547,CANDIDATE_EVALUATED
trend-d700af0b2975aacf-20260911T193718203416Z-f88c600d,trend-d700af0b2975aacf,trend,2.66940053,False,0.016619814140698796,0.2687376231005774,-0.17412017883368547,CANDIDATE_EVALUATED
trend_momentum-59d127d69cedccd4-20260911T192736916380Z-28d3833a,trend_momentum-59d127d69cedccd4,trend_momentum,2.62528339,False,0.007680089542906776,0.24250002001749746,-0.05884647074759086,CANDIDATE_EVALUATED
trend_momentum-59d127d69cedccd4-20260911T193827974070Z-e8794afe,trend_momentum-59d127d69cedccd4,trend_momentum,2.62528339,False,0.007680089542906776,0.24250002001749746,-0.05884647074759086,CANDIDATE_EVALUATED
trend-8d533a869e27dc24-20260911T192557424673Z-8da783b2,trend-8d533a869e27dc24,trend,2.53978588,False,0.008276938420006541,0.24347072488017954,-0.0803307444401572,CANDIDATE_EVALUATED
trend-8d533a869e27dc24-20260911T193705563826Z-52660b2c,trend-8d533a869e27dc24,trend,2.53978588,False,0.008276938420006541,0.24347072488017954,-0.0803307444401572,CANDIDATE_EVALUATED
trend_momentum-e439396ac87e31f1-20260911T192642379756Z-cbd90b8e,trend_momentum-e439396ac87e31f1,trend_momentum,2.47251751,False,0.004455841844491548,0.25926012063015025,-0.033552491314141175,CANDIDATE_EVALUATED
trend_momentum-e439396ac87e31f1-20260911T193743890519Z-dc8efac4,trend_momentum-e439396ac87e31f1,trend_momentum,2.47251751,False,0.004455841844491548,0.25926012063015025,-0.033552491314141175,CANDIDATE_EVALUATED
trend_momentum-940a848445379942-20260911T192804512790Z-fe30b267,trend_momentum-940a848445379942,trend_momentum,2.41807661,False,0.007363581103093431,0.2424421171971382,-0.0701421206309063,CANDIDATE_EVALUATED
trend_momentum-940a848445379942-20260911T193849378680Z-96a001fb,trend_momentum-940a848445379942,trend_momentum,2.41807661,False,0.007363581103093431,0.2424421171971382,-0.0701421206309063,CANDIDATE_EVALUATED
trend_momentum-957f14e2ed40243c-20260911T192640205652Z-325f08c6,trend_momentum-957f14e2ed40243c,trend_momentum,2.29276663,False,0.004117703641320247,0.24822778035137155,-0.02986673591853084,CANDIDATE_EVALUATED
trend_momentum-957f14e2ed40243c-20260911T193742070779Z-d5045619,trend_momentum-957f14e2ed40243c,trend_momentum,2.29276663,False,0.004117703641320247,0.24822778035137155,-0.02986673591853084,CANDIDATE_EVALUATED
trend-0ae78f4c0dd56f08-20260911T192559395168Z-5d2ffd59,trend-0ae78f4c0dd56f08,trend,2.24267624,False,0.007690595075236173,0.23599843128552894,-0.08672358121079127,CANDIDATE_EVALUATED
trend-0ae78f4c0dd56f08-20260911T193707159923Z-47163504,trend-0ae78f4c0dd56f08,trend,2.24267624,False,0.007690595075236173,0.23599843128552894,-0.08672358121079127,CANDIDATE_EVALUATED
risk_managed_trend-625e64bd495f28f9-20260911T192826166956Z-5f703207,risk_managed_trend-625e64bd495f28f9,risk_managed_trend,2.21436963,False,0.004447035903367702,0.2507465659595952,-0.03932646672657325,CANDIDATE_EVALUATED
risk_managed_trend-625e64bd495f28f9-20260911T193905888869Z-8bd704ca,risk_managed_trend-625e64bd495f28f9,risk_managed_trend,2.21436963,False,0.004447035903367702,0.2507465659595952,-0.03932646672657325,CANDIDATE_EVALUATED
trend-ab18527b1ceecf39-20260911T192538607920Z-541a4f6b,trend-ab18527b1ceecf39,trend,2.18868602,False,0.004476223987565753,0.2507679630353971,-0.04129885981636372,CANDIDATE_EVALUATED
trend-ab18527b1ceecf39-20260911T193650505209Z-4bcd6f2d,trend-ab18527b1ceecf39,trend,2.18868602,False,0.004476223987565753,0.2507679630353971,-0.04129885981636372,CANDIDATE_EVALUATED
trend_momentum-7e32d02c75b8c12c-20260911T192707210585Z-c6b70ddf,trend_momentum-7e32d02c75b8c12c,trend_momentum,2.11044128,False,0.003952875343267825,0.24935250649934468,-0.03594589665218462,CANDIDATE_EVALUATED
trend_momentum-7e32d02c75b8c12c-20260911T193804729056Z-a712170c,trend_momentum-7e32d02c75b8c12c,trend_momentum,2.11044128,False,0.003952875343267825,0.24935250649934468,-0.03594589665218462,CANDIDATE_EVALUATED
trend-eba84dc754529d7d-20260911T192540636767Z-6ca3c05b,trend-eba84dc754529d7d,trend,1.95866359,False,0.004178189005667798,0.24472288716710217,-0.04416703330399696,CANDIDATE_EVALUATED
trend-eba84dc754529d7d-20260911T193652059627Z-d3d26c77,trend-eba84dc754529d7d,trend,1.95866359,False,0.004178189005667798,0.24472288716710217,-0.04416703330399696,CANDIDATE_EVALUATED
trend-3d522428ee984086-20260911T192603792225Z-18f39d45,trend-3d522428ee984086,trend,1.8244604,False,0.007165493867322237,0.2155411023975273,-0.08099948989715644,CANDIDATE_EVALUATED
trend-3d522428ee984086-20260911T193710794408Z-3d88fccc,trend-3d522428ee984086,trend,1.8244604,False,0.007165493867322237,0.2155411023975273,-0.08099948989715644,CANDIDATE_EVALUATED
risk_managed_trend-c59b7496c5c5260b-20260911T192828483947Z-a24b8265,risk_managed_trend-c59b7496c5c5260b,risk_managed_trend,1.77967263,False,0.0040839411980142515,0.23093892191159157,-0.03943724372219515,CANDIDATE_EVALUATED
risk_managed_trend-c59b7496c5c5260b-20260911T193907575994Z-d0182b96,risk_managed_trend-c59b7496c5c5260b,risk_managed_trend,1.77967263,False,0.0040839411980142515,0.23093892191159157,-0.03943724372219515,CANDIDATE_EVALUATED
trend-3ca490ccfdf5b27b-20260911T192618562163Z-5bc63c81,trend-3ca490ccfdf5b27b,trend,1.61495473,False,0.012865776826584518,0.21973233698063566,-0.16697069828408184,CANDIDATE_EVALUATED
trend-3ca490ccfdf5b27b-20260911T193723575377Z-e6593448,trend-3ca490ccfdf5b27b,trend,1.61495473,False,0.012865776826584518,0.21973233698063566,-0.16697069828408184,CANDIDATE_EVALUATED
trend-2c6f23c418dfcc52-20260911T192544798634Z-6794cc42,trend-2c6f23c418dfcc52,trend,1.54937675,False,0.003903967581614376,0.22283385149621576,-0.041383101724945415,CANDIDATE_EVALUATED
trend-2c6f23c418dfcc52-20260911T193655511675Z-46c88805,trend-2c6f23c418dfcc52,trend,1.54937675,False,0.003903967581614376,0.22283385149621576,-0.041383101724945415,CANDIDATE_EVALUATED
trend_momentum-a1b3938a421a3747-20260911T192802443369Z-dcfb9d11,trend_momentum-a1b3938a421a3747,trend_momentum,1.50633964,False,0.006022110964048366,0.20678322894042672,-0.07194960010061224,CANDIDATE_EVALUATED
trend_momentum-a1b3938a421a3747-20260911T193847759113Z-ff3995c1,trend_momentum-a1b3938a421a3747,trend_momentum,1.50633964,False,0.006022110964048366,0.20678322894042672,-0.07194960010061224,CANDIDATE_EVALUATED
trend_momentum-57866df2ad856768-20260911T192745201253Z-776f0a0a,trend_momentum-57866df2ad856768,trend_momentum,1.44127146,False,0.006096031204679608,0.20330474185498842,-0.07396726977130608,CANDIDATE_EVALUATED
trend_momentum-57866df2ad856768-20260911T193834566278Z-a18d7bd3,trend_momentum-57866df2ad856768,trend_momentum,1.44127146,False,0.006096031204679608,0.20330474185498842,-0.07396726977130608,CANDIDATE_EVALUATED
trend_momentum-99add87fa7864c7b-20260911T192705056495Z-a14ad701,trend_momentum-99add87fa7864c7b,trend_momentum,1.37229254,False,0.0033267436772630443,0.21748549526661104,-0.03665250968865774,CANDIDATE_EVALUATED
trend_momentum-99add87fa7864c7b-20260911T193803043604Z-b28222bc,trend_momentum-99add87fa7864c7b,trend_momentum,1.37229254,False,0.0033267436772630443,0.21748549526661104,-0.03665250968865774,CANDIDATE_EVALUATED
trend_momentum-8fa226bd4b373c0c-20260911T192743129705Z-d88c3be8,trend_momentum-8fa226bd4b373c0c,trend_momentum,1.31360936,False,0.005823381595867261,0.19800708071073692,-0.07206228930081959,CANDIDATE_EVALUATED
trend_momentum-8fa226bd4b373c0c-20260911T193832915035Z-686e2bcf,trend_momentum-8fa226bd4b373c0c,trend_momentum,1.31360936,False,0.005823381595867261,0.19800708071073692,-0.07206228930081959,CANDIDATE_EVALUATED
trend_momentum-52036b2f88632577-20260911T192646623813Z-2d4ead88,trend_momentum-52036b2f88632577,trend_momentum,1.22658266,False,0.003254675006423735,0.21015612955705615,-0.036723216913921664,CANDIDATE_EVALUATED
trend_momentum-52036b2f88632577-20260911T193747628641Z-2137400a,trend_momentum-52036b2f88632577,trend_momentum,1.22658266,False,0.003254675006423735,0.21015612955705615,-0.036723216913921664,CANDIDATE_EVALUATED
trend_momentum-804d999e8e320101-20260911T192648640220Z-882bfe52,trend_momentum-804d999e8e320101,trend_momentum,1.22619365,False,0.00331905912713637,0.21052566494631605,-0.037818326157349924,CANDIDATE_EVALUATED
trend_momentum-804d999e8e320101-20260911T193749458712Z-e481f754,trend_momentum-804d999e8e320101,trend_momentum,1.22619365,False,0.00331905912713637,0.21052566494631605,-0.037818326157349924,CANDIDATE_EVALUATED
trend_momentum-0099e486198d38d2-20260911T192756081332Z-d4d09c2a,trend_momentum-0099e486198d38d2,trend_momentum,1.09838118,False,0.005781114258972764,0.18643475999954373,-0.07072855086677676,CANDIDATE_EVALUATED
trend_momentum-0099e486198d38d2-20260911T193842931352Z-126f3a22,trend_momentum-0099e486198d38d2,trend_momentum,1.09838118,False,0.005781114258972764,0.18643475999954373,-0.07072855086677676,CANDIDATE_EVALUATED
trend_momentum-a9bdfb9fd9a751b8-20260911T192758251832Z-64b1e9e9,trend_momentum-a9bdfb9fd9a751b8,trend_momentum,0.98406934,False,0.005696487885590962,0.17977067081065098,-0.06800203462646481,CANDIDATE_EVALUATED
trend_momentum-a9bdfb9fd9a751b8-20260911T193844575223Z-47e4376a,trend_momentum-a9bdfb9fd9a751b8,trend_momentum,0.98406934,False,0.005696487885590962,0.17977067081065098,-0.06800203462646481,CANDIDATE_EVALUATED
trend_momentum-e88d0300cc3919b6-20260911T192815126617Z-fcf92f79,trend_momentum-e88d0300cc3919b6,trend_momentum,0.95437534,False,0.0055991611909989025,0.18125838387367116,-0.07243873138950696,CANDIDATE_EVALUATED
trend_momentum-e88d0300cc3919b6-20260911T193857739806Z-c44dbbcf,trend_momentum-e88d0300cc3919b6,trend_momentum,0.95437534,False,0.0055991611909989025,0.18125838387367116,-0.07243873138950696,CANDIDATE_EVALUATED
trend_momentum-1e72c80e6dc2d4bc-20260911T192658913800Z-ec0d5236,trend_momentum-1e72c80e6dc2d4bc,trend_momentum,0.85521625,False,0.0031404549534621573,0.19113461265992424,-0.03622478149569841,CANDIDATE_EVALUATED
trend_momentum-1e72c80e6dc2d4bc-20260911T193758060223Z-92fe3efc,trend_momentum-1e72c80e6dc2d4bc,trend_momentum,0.85521625,False,0.0031404549534621573,0.19113461265992424,-0.03622478149569841,CANDIDATE_EVALUATED
trend_momentum-a7de329c1d35e426-20260911T192717902990Z-4a66cd52,trend_momentum-a7de329c1d35e426,trend_momentum,0.71800416,False,0.003039992743433917,0.185662782468384,-0.03691825580730301,CANDIDATE_EVALUATED
trend_momentum-a7de329c1d35e426-20260911T193813018562Z-0569fccf,trend_momentum-a7de329c1d35e426,trend_momentum,0.71800416,False,0.003039992743433917,0.185662782468384,-0.03691825580730301,CANDIDATE_EVALUATED
trend_momentum-db3b9e5723a17920-20260911T192701045810Z-399888ad,trend_momentum-db3b9e5723a17920,trend_momentum,0.68210052,False,0.0030569540140290563,0.1812197298624193,-0.034720941178160714,CANDIDATE_EVALUATED
trend_momentum-db3b9e5723a17920-20260911T193759709268Z-5b1ba710,trend_momentum-db3b9e5723a17920,trend_momentum,0.68210052,False,0.0030569540140290563,0.1812197298624193,-0.034720941178160714,CANDIDATE_EVALUATED
trend-7ca42f38d7d16973-20260911T192622839268Z-06467691,trend-7ca42f38d7d16973,trend,0.59357681,False,0.011889164831117016,0.20168292128455342,-0.15528326600033027,CANDIDATE_EVALUATED
trend-7ca42f38d7d16973-20260911T193727209583Z-14e8f3c0,trend-7ca42f38d7d16973,trend,0.59357681,False,0.011889164831117016,0.20168292128455342,-0.15528326600033027,CANDIDATE_EVALUATED
